nome,provincia,latitude,longitude,fragilidade,capacidade_diaria,taxa_aoa,tipo_ecosistema,descricao
Parque Nacional da Kissama,Luanda,-8.7500,13.2500,3,150,25000,savana,"Reserva natural com elefantes, búfalos e aves migratórias"
Cascatas de Kalandula,Malange,-9.0833,16.0167,2,200,15000,floresta,"Cachoeiras espetaculares de 105m de altura"
Parque Nacional de Iona,Namibe,-16.7500,12.2500,4,100,30000,deserto,"Deserto costeiro único com flora endêmica"
Reserva Natural do Luando,Bié,-11.5000,17.0000,3,80,20000,savana,"Habitat do palanca negra gigante"
Parque Nacional de Cangandala,Malange,-9.7500,16.5000,2,120,18000,savana,"Proteção do palanca negra gigante"
Cachoeiras de Ruacaná,Cunene,-17.4167,14.3667,2,180,12000,floresta,"Cachoeiras no rio Cunene"
Parque Nacional de Mupa,Cunene,-16.5000,15.0000,3,90,22000,savana,"Diversidade de antílopes e aves"
Reserva Florestal do Maiombe,Cabinda,-4.5000,12.5000,4,60,35000,floresta,"Floresta tropical densa com primatas"
Parque Nacional de Cameia,Moxico,-11.2500,20.5000,3,110,25000,savana,"Zona húmida com hipopótamos"
Cachoeiras de Binga,Benguela,-12.5833,13.4167,2,160,14000,floresta,"Cachoeiras em ambiente montanhoso"
Parque Nacional de Bicuar,Huíla,-14.7500,14.2500,3,95,23000,savana,"Elefantes e girafas em habitat natural"
Reserva Natural do Cuanza,Kwanza Sul,-10.2500,14.5000,2,140,16000,floresta,"Manguezais e aves aquáticas"
Parque Nacional de Quissama,Luanda,-8.5000,13.0000,3,130,24000,savana,"Reintrodução de espécies extintas"
Cachoeiras de Calandula,Malange,-9.1000,16.0000,2,190,13000,floresta,"Cachoeiras em ambiente preservado"
Reserva Florestal do Dembos,Bengo,-8.0000,14.5000,3,70,21000,floresta,"Floresta secundária com biodiversidade"
Parque Nacional de Mavinga,Cuando Cubango,-15.7500,20.2500,4,50,40000,savana,"Área remota com vida selvagem intacta"
Cachoeiras de Tundavala,Huíla,-14.8333,13.3500,2,170,15000,montanha,"Falésias espetaculares e vistas panorâmicas"
Reserva Natural do Luena,Moxico,-11.7500,19.9000,3,85,22000,savana,"Zona de transição ecológica"
Parque Nacional de Caconda,Huíla,-14.5000,15.2500,3,100,20000,savana,"Habitats diversos e vida selvagem"
Cachoeiras de Pedras Negras,Benguela,-12.7500,13.7500,2,150,14000,floresta,"Formações rochosas únicas"
Reserva Florestal do Uíge,Uíge,-7.5000,15.0000,3,65,19000,floresta,"Floresta tropical com espécies endêmicas"
Parque Nacional de Luengue-Luiana,Cuando Cubango,-17.0000,21.0000,4,45,45000,savana,"Área de conservação transfronteiriça"
Cachoeiras de Kwanza,Kwanza Norte,-9.2500,14.2500,2,180,13000,floresta,"Cachoeiras no rio Kwanza"
Reserva Natural do Cubango,Cuando Cubango,-16.2500,19.5000,3,75,23000,savana,"Delta interior com vida aquática"
